RECORDING_SESSION_LABEL,TRIAL_INDEX,EYE_USED,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_DURATION,CURRENT_FIX_X,CURRENT_FIX_X_RESOLUTION,CURRENT_FIX_Y,CURRENT_FIX_Y_RESOLUTION,NEXT_FIX_DIRECTION,NEXT_FIX_DISTANCE,NEXT_FIX_START,NEXT_FIX_END,NEXT_FIX_DURATION,NEXT_FIX_X,NEXT_FIX_X_RESOLUTION,NEXT_FIX_Y,NEXT_FIX_Y_RESOLUTION,PREVIOUS_FIX_DIRECTION,PREVIOUS_FIX_DISTANCE,PREVIOUS_FIX_START,PREVIOUS_FIX_END,PREVIOUS_FIX_DURATION,PREVIOUS_FIX_X,PREVIOUS_FIX_X_RESOLUTION,PREVIOUS_FIX_Y,PREVIOUS_FIX_Y_RESOLUTION
1,1,RIGHT,1,7,180,174,479.3,31.3,224.5,41.4,LEFT,5.18,229,532,304,316.3,31.6,227.4,41.7,.,.,.,.,.,.,.,.,.
1,1,RIGHT,2,229,532,304,316.3,31.6,227.4,41.7,LEFT,5.18,683,795,113,179.4,32.3,105.3,42.1,RIGHT,5.18,7,180,174,479.3,31.3,224.5,41.4
1,1,RIGHT,3,683,795,113,179.4,32.3,105.3,42.1,LEFT,1.38,814,1142,329,137.9,32.65,83,42.3,RIGHT,5.18,229,532,304,316.3,31.6,227.4,41.7
1,1,RIGHT,4,814,1142,329,137.9,32.65,83,42.3,RIGHT,0.68,1154,1299,146,160,32.45,83.3,42.2,RIGHT,1.38,683,795,113,179.4,32.3,105.3,42.1
1,1,RIGHT,5,1154,1299,146,160,32.45,83.3,42.2,RIGHT,1.47,1320,1698,379,206.4,32.2,95.9,42,LEFT,0.68,814,1142,329,137.9,32.65,83,42.3
1,1,RIGHT,6,1320,1698,379,206.4,32.2,95.9,42,RIGHT,1.52,1717,1891,175,254.9,31.95,103.8,41.85,LEFT,1.47,1154,1299,146,160,32.45,83.3,42.2
1,1,RIGHT,7,1717,1891,175,254.9,31.95,103.8,41.85,RIGHT,1.8,1913,2023,111,312,31.6,105.5,41.65,LEFT,1.52,1320,1698,379,206.4,32.2,95.9,42
1,1,RIGHT,8,1913,2023,111,312,31.6,105.5,41.65,.,0.27,2178,2563,386,318.2,31.6,113.1,41.6,LEFT,1.8,1717,1891,175,254.9,31.95,103.8,41.85
1,1,RIGHT,9,2178,2563,386,318.2,31.6,113.1,41.6,RIGHT,1.82,2600,2957,358,375.4,31.4,118.4,41.5,.,0.27,1913,2023,111,312,31.6,105.5,41.65
1,1,RIGHT,10,2600,2957,358,375.4,31.4,118.4,41.5,RIGHT,3.07,2999,3282,284,471.6,31.25,119.6,41.4,LEFT,1.82,2178,2563,386,318.2,31.6,113.1,41.6
1,1,RIGHT,11,2999,3282,284,471.6,31.25,119.6,41.4,RIGHT,0.87,3293,3588,296,498.5,31.2,114.9,41.4,LEFT,3.07,2600,2957,358,375.4,31.4,118.4,41.5
1,1,RIGHT,12,3293,3588,296,498.5,31.2,114.9,41.4,RIGHT,2.43,3614,3982,369,574.2,31.25,108.6,41.4,LEFT,0.87,2999,3282,284,471.6,31.25,119.6,41.4
1,1,RIGHT,13,3614,3982,369,574.2,31.25,108.6,41.4,LEFT,1.21,4004,4194,191,536.8,31.2,115,41.4,LEFT,2.43,3293,3588,296,498.5,31.2,114.9,41.4
1,1,RIGHT,14,4004,4194,191,536.8,31.2,115,41.4,LEFT,2.98,4379,4744,366,443.8,31.3,115.7,41.4,RIGHT,1.21,3614,3982,369,574.2,31.25,108.6,41.4
1,1,RIGHT,15,4379,4744,366,443.8,31.3,115.7,41.4,LEFT,7.88,4798,5169,372,195.1,32.25,77.2,42.1,RIGHT,2.98,4004,4194,191,536.8,31.2,115,41.4
1,1,RIGHT,16,4798,5169,372,195.1,32.25,77.2,42.1,LEFT,1.48,5198,5507,310,147.3,32.55,78.8,42.3,RIGHT,7.88,4379,4744,366,443.8,31.3,115.7,41.4
