RECORDING_SESSION_LABEL,TRIAL_INDEX,EYE_USED,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_DURATION,CURRENT_FIX_X,CURRENT_FIX_X_RESOLUTION,CURRENT_FIX_Y,CURRENT_FIX_Y_RESOLUTION,NEXT_FIX_DIRECTION,NEXT_FIX_DISTANCE,NEXT_FIX_START,NEXT_FIX_END,NEXT_FIX_DURATION,NEXT_FIX_X,NEXT_FIX_X_RESOLUTION,NEXT_FIX_Y,NEXT_FIX_Y_RESOLUTION,PREVIOUS_FIX_DIRECTION,PREVIOUS_FIX_DISTANCE,PREVIOUS_FIX_START,PREVIOUS_FIX_END,PREVIOUS_FIX_DURATION,PREVIOUS_FIX_X,PREVIOUS_FIX_X_RESOLUTION,PREVIOUS_FIX_Y,PREVIOUS_FIX_Y_RESOLUTION
4,1,RIGHT,1,7,167,161,399.3,31.4,224.4,41.5,LEFT,2.69,195,380,186,337,31.5,148.8,41.55,.,.,.,.,.,.,.,.,.
4,1,RIGHT,2,195,380,186,337,31.5,148.8,41.55,LEFT,7.47,428,535,108,116.6,32.7,25.1,42.4,RIGHT,2.69,7,167,161,399.3,31.4,224.4,41.5
4,1,RIGHT,3,428,535,108,116.6,32.7,25.1,42.4,RIGHT,1.44,756,928,173,160.5,32.35,3.8,42.2,RIGHT,7.47,195,380,186,337,31.5,148.8,41.55
4,1,RIGHT,4,756,928,173,160.5,32.35,3.8,42.2,RIGHT,2.86,961,1204,244,252,31.8,14.7,41.85,LEFT,1.44,428,535,108,116.6,32.7,25.1,42.4
4,1,RIGHT,5,961,1204,244,252,31.8,14.7,41.85,RIGHT,2.9,1230,1412,183,343.5,31.5,22.4,41.6,LEFT,2.86,756,928,173,160.5,32.35,3.8,42.2
4,1,RIGHT,6,1230,1412,183,343.5,31.5,22.4,41.6,RIGHT,1.03,1429,1591,163,375.6,31.4,17.8,41.6,LEFT,2.9,961,1204,244,252,31.8,14.7,41.85
4,1,RIGHT,7,1429,1591,163,375.6,31.4,17.8,41.6,RIGHT,2.3,1615,1785,171,447.6,31.3,19,41.5,LEFT,1.03,1230,1412,183,343.5,31.5,22.4,41.6
4,1,RIGHT,8,1615,1785,171,447.6,31.3,19,41.5,RIGHT,2.34,1808,2145,338,520.4,31.3,29.4,41.5,LEFT,2.3,1429,1591,163,375.6,31.4,17.8,41.6
4,1,RIGHT,9,1808,2145,338,520.4,31.3,29.4,41.5,RIGHT,2.51,2170,2315,146,596.9,31.3,52.4,41.5,LEFT,2.34,1615,1785,171,447.6,31.3,19,41.5
4,1,RIGHT,10,2170,2315,146,596.9,31.3,52.4,41.5,RIGHT,2.11,2341,2624,284,663.2,31.5,47.5,41.6,LEFT,2.51,1808,2145,338,520.4,31.3,29.4,41.5
4,1,RIGHT,11,2341,2624,284,663.2,31.5,47.5,41.6,RIGHT,1.65,2715,2878,164,715,31.7,41.7,41.7,LEFT,2.11,2170,2315,146,596.9,31.3,52.4,41.5
4,1,RIGHT,12,2715,2878,164,715,31.7,41.7,41.7,RIGHT,3.99,2918,3258,341,842.7,32.35,40.2,42.2,LEFT,1.65,2341,2624,284,663.2,31.5,47.5,41.6
4,1,RIGHT,13,2918,3258,341,842.7,32.35,40.2,42.2,RIGHT,2.47,3283,3446,164,923.2,32.85,34.8,42.5,LEFT,3.99,2715,2878,164,715,31.7,41.7,41.7
4,1,RIGHT,14,3283,3446,164,923.2,32.85,34.8,42.5,RIGHT,1.23,3465,3658,194,963.7,33.2,35.3,42.7,LEFT,2.47,2918,3258,341,842.7,32.35,40.2,42.2
4,1,RIGHT,15,3465,3658,194,963.7,33.2,35.3,42.7,LEFT,1.79,3679,3750,72,904.6,32.8,31.7,42.5,LEFT,1.23,3283,3446,164,923.2,32.85,34.8,42.5
4,1,RIGHT,16,3679,3750,72,904.6,32.8,31.7,42.5,RIGHT,2.07,3775,3869,95,973.1,33.3,33.8,42.8,RIGHT,1.79,3465,3658,194,963.7,33.2,35.3,42.7
4,1,RIGHT,17,3775,3869,95,973.1,33.3,33.8,42.8,LEFT,26.34,3954,4072,119,104,32.7,54,42.4,LEFT,2.07,3679,3750,72,904.6,32.8,31.7,42.5
4,1,RIGHT,18,3954,4072,119,104,32.7,54,42.4,LEFT,1.75,4097,4348,252,46.4,33.35,47.8,42.75,RIGHT,26.34,3775,3869,95,973.1,33.3,33.8,42.8
4,1,RIGHT,19,4097,4348,252,46.4,33.35,47.8,42.75,RIGHT,2.69,4373,4572,200,134.7,32.5,56.3,42.25,RIGHT,1.75,3954,4072,119,104,32.7,54,42.4
4,1,RIGHT,20,4373,4572,200,134.7,32.5,56.3,42.25,RIGHT,2.23,4597,4784,188,206.4,32.05,63.6,41.95,LEFT,2.69,4097,4348,252,46.4,33.35,47.8,42.75
4,1,RIGHT,21,4597,4784,188,206.4,32.05,63.6,41.95,RIGHT,3.36,4813,4994,182,313.3,31.6,70,41.6,LEFT,2.23,4373,4572,200,134.7,32.5,56.3,42.25
4,1,RIGHT,22,4813,4994,182,313.3,31.6,70,41.6,RIGHT,3.66,5022,5261,240,428.4,31.3,76,41.45,LEFT,3.36,4597,4784,188,206.4,32.05,63.6,41.95
4,1,RIGHT,23,5022,5261,240,428.4,31.3,76,41.45,RIGHT,2.13,5282,5480,199,494.9,31.2,75.4,41.4,LEFT,3.66,4813,4994,182,313.3,31.6,70,41.6
4,1,RIGHT,24,5282,5480,199,494.9,31.2,75.4,41.4,RIGHT,3.35,5510,5827,318,599.5,31.3,75.8,41.5,LEFT,2.13,5022,5261,240,428.4,31.3,76,41.45
4,1,RIGHT,25,5510,5827,318,599.5,31.3,75.8,41.5,RIGHT,4.08,5863,6071,209,727.9,31.75,85.5,41.75,LEFT,3.35,5282,5480,199,494.9,31.2,75.4,41.4
4,1,RIGHT,26,5863,6071,209,727.9,31.75,85.5,41.75,LEFT,0.57,6080,6218,139,709.9,31.7,84.8,41.7,LEFT,4.08,5510,5827,318,599.5,31.3,75.8,41.5
4,1,RIGHT,27,6080,6218,139,709.9,31.7,84.8,41.7,RIGHT,4.65,6253,6415,163,859.1,32.5,76.8,42.25,RIGHT,0.57,5863,6071,209,727.9,31.75,85.5,41.75
4,1,RIGHT,28,6253,6415,163,859.1,32.5,76.8,42.25,LEFT,1.13,6432,6620,189,822.5,32.3,79.3,42.1,LEFT,4.65,6080,6218,139,709.9,31.7,84.8,41.7
4,1,RIGHT,29,6432,6620,189,822.5,32.3,79.3,42.1,RIGHT,4.38,6655,6784,130,965.9,33.35,64.9,42.8,RIGHT,1.13,6253,6415,163,859.1,32.5,76.8,42.25
4,1,RIGHT,30,6655,6784,130,965.9,33.35,64.9,42.8,LEFT,26.43,6872,7010,139,92.2,32.8,106.6,42.4,LEFT,4.38,6432,6620,189,822.5,32.3,79.3,42.1
4,1,RIGHT,31,6872,7010,139,92.2,32.8,106.6,42.4,LEFT,1.17,7029,7102,74,54.8,33.1,95.2,42.6,RIGHT,26.43,6655,6784,130,965.9,33.35,64.9,42.8
4,1,RIGHT,32,7029,7102,74,54.8,33.1,95.2,42.6,RIGHT,3.73,7134,7420,287,176.5,32.2,98.4,42,RIGHT,1.17,6872,7010,139,92.2,32.8,106.6,42.4
4,1,RIGHT,33,7134,7420,287,176.5,32.2,98.4,42,RIGHT,3.51,7453,7640,188,288.3,31.65,106.4,41.7,LEFT,3.73,7029,7102,74,54.8,33.1,95.2,42.6
4,1,RIGHT,34,7453,7640,188,288.3,31.65,106.4,41.7,RIGHT,3.67,7796,8087,292,403.8,31.3,110.6,41.45,LEFT,3.51,7134,7420,287,176.5,32.2,98.4,42
4,1,RIGHT,35,7796,8087,292,403.8,31.3,110.6,41.45,RIGHT,3.98,8124,8395,272,528.1,31.2,115.2,41.4,LEFT,3.67,7453,7640,188,288.3,31.65,106.4,41.7
4,1,RIGHT,36,8124,8395,272,528.1,31.2,115.2,41.4,RIGHT,3.13,8430,8766,337,626.1,31.4,117.9,41.5,LEFT,3.98,7796,8087,292,403.8,31.3,110.6,41.45
4,1,RIGHT,37,8430,8766,337,626.1,31.4,117.9,41.5,RIGHT,1.33,8786,8896,111,668,31.5,119.7,41.55,LEFT,3.13,8124,8395,272,528.1,31.2,115.2,41.4
4,1,RIGHT,38,8786,8896,111,668,31.5,119.7,41.55,RIGHT,1.33,8918,9089,172,710,31.7,117.9,41.7,LEFT,1.33,8430,8766,337,626.1,31.4,117.9,41.5
4,1,RIGHT,39,8918,9089,172,710,31.7,117.9,41.7,LEFT,7.85,9137,9281,145,463.3,31.2,124,41.4,LEFT,1.33,8786,8896,111,668,31.5,119.7,41.55
4,1,RIGHT,40,9137,9281,145,463.3,31.2,124,41.4,LEFT,1.62,9302,9476,175,412.7,31.3,120.7,41.4,RIGHT,7.85,8918,9089,172,710,31.7,117.9,41.7
4,1,RIGHT,41,9302,9476,175,412.7,31.3,120.7,41.4,RIGHT,3.27,9504,9703,200,514.8,31.2,123.7,41.4,RIGHT,1.62,9137,9281,145,463.3,31.2,124,41.4
